Name,Disaster,Begin_Date,End_Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,State
Southern Severe Storms and Flooding (April 1980),Flooding,4/10/80,4/17/80,2636.2,7,AR
Southern Severe Storms and Flooding (April 1980),Flooding,4/10/80,4/17/80,0,0,LA
Southern Severe Storms and Flooding (April 1980),Flooding,4/10/80,4/17/80,0,0,MS
Hurricane Allen (August 1980),Tropical Cyclone,8/7/80,8/11/80,2135.8,13,TX
Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,6/1/80,11/30/80,38877.6,1260,FL
Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,6/1/80,11/30/80,0,0,TX
Florida Freeze (January 1981),Freeze,1/12/81,1/14/81,1984.8,0,FL
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,5/5/81,5/10/81,1348.8,20,TX
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,5/5/81,5/10/81,0,0,OK
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,5/5/81,5/10/81,0,0,KS
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,5/5/81,5/10/81,0,0,LA
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,5/5/81,5/10/81,0,0,AL
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,1/8/82,1/16/82,2118.3,85,AL
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,1/8/82,1/16/82,0,0,AR
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,1/8/82,1/16/82,0,0,CT
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,1/8/82,1/16/82,0,0,DE
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,1/8/82,1/16/82,0,0,FL
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,1/8/82,1/16/82,0,0,GA
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,1/8/82,1/16/82,0,0,IA
