Launch_status,Title,Country,Prog_name,Launch_datetime,Launcher_name,Status,Price(million),Liftoff_Thrust(kN),Payload_to_LEO(kg),Payload_to_GTO(kg),Rocket_Height(m),Fairing_Diameter(m),Fairing_Height(m),Cross_Join
Success,Falcon9Block5|EuclidTelescope, USA,Euclid Telescope,7/1/23 15:12,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,SpaceShipTwo|Galactic01, USA,Galactic 01,6/29/23 15:28,Virgin Galactic,Active,0,NA,0,0,NA,NA,NA,1
Success,Soyuz2.1b/Fregat-M|Meteor-Mn°2-3andothers, Russia,Meteor-M n°2-3 and others,6/27/23 11:34,Roscosmos,Active,$25.00 ,"4,550","7,500","3,250",46.94,4.11,11.43,1
Success,Falcon9Block5|StarlinkGroup5-12, USA,Starlink Group 5-12,6/23/23 15:35,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,DeltaIVHeavy|NROL-68(USA-345), USA,NROL-68 (USA-345),6/22/23 9:18,ULA,Active,$350.00 ,"9,411","28,370","13,810",72,5.1,19.1,1
Success,Falcon9Block5|StarlinkGroup5-7, USA,Starlink Group 5-7,6/22/23 7:19,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,LongMarch6|Shiyan25, China,Shiyan 25,6/20/23 3:18,CASC,Active,$19.00 ,"1,188","1,080",0,29.24,2.6,6.145,1
Success,Falcon9Block5|Satria, USA,Satria,6/18/23 22:21,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Electron|Scout'sArrow, USA,Scout's Arrow,6/18/23 1:24,Rocket Lab,Active,$7.50 ,225,320,NA,17,1.2,NA,1
Success,LongMarch2D|41xJilin-1, China,41 x Jilin-1,6/15/23 5:30,CASC,Active,$29.75 ,"2,962","3,500","1,200",40.77,3.35,7.82,1
Success,Falcon9Block5|Transporter8, USA,Transporter 8,6/12/23 21:35,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Falcon9Block5|StarlinkGroup5-11, USA,Starlink Group 5-11,6/12/23 7:10,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Kuaizhou1A|Longjiang3, China,Longjiang 3,6/9/23 2:35,ExPace,Active,$5.80 ,537,300,0,19.8,1.4,3.4,1
Success,Kinetica1|SecondFlight, China,Second Flight,6/7/23 4:10,CAS Space,Active,0,NA,"2,000","1,500",31,3.35,NA,1
Success,Falcon9Block5|CRSSpX-28, USA,CRS SpX-28,6/5/23 15:47,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Falcon9Block5|StarlinkGroup6-4, USA,Starlink Group 6-4,6/4/23 12:20,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Falcon9Block5|StarlinkGroup2-10, USA,Starlink Group 2-10,5/31/23 6:02,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Failure,Chŏllima1|Manligyeong1, North Korea,Manligyeong 1,5/30/23 21:27,NADA,Active,0,NA,NA,NA,NA,NA,NA,1
Success,LongMarch2F/G|Shenzhou16, China,Shenzhou 16,5/30/23 1:31,CASC,Active,0,"5,985","8,600",0,58.34,3.6,19.11,1
Success,GSLVMkII|NVS-01(IRNSS-1J), India,NVS-01 (IRNSS-1J),5/29/23 5:12,ISRO,Active,$47.00 ,"7,887","5,000","2,500",51.7,4,7.8,1
Success,Falcon9Block5|Arabsat7B(Badr8), USA,Arabsat 7B (Badr 8),5/27/23 4:30,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Soyuz2.1a/Fregat-M|Kondor-FKAn°1, Russia,Kondor-FKA n°1,5/26/23 21:14,Roscosmos,Active,$23.00 ,"4,550","7,020","2,810",46.94,4.11,10.2,1
Success,Electron/Curie|TROPICSFlight3:ComingtoaStormNearYou, New Zealand,TROPICS Flight 3: Coming to a Storm Near You,5/26/23 3:46,Rocket Lab,Active,$7.50 ,225,320,NA,17,1.2,2.5,1
Success,SpaceShipTwo|Unity25, USA,Unity 25,5/25/23 16:23,Virgin Galactic,Active,0,NA,0,0,NA,NA,NA,1
Success,KSLV-2|NEXTSat-2&Others, South Korea,NEXTSat-2 & Others,5/25/23 9:24,KARI,Active,0,"2,620","1,500",550,47.5,3.3,NA,1
Success,Soyuz2.1a|ProgressMS-23, Kazakhstan,Progress MS-23,5/24/23 12:56,Roscosmos,Active,$17.42 ,"4,550","7,500",0,51.38,4.11,15.59,1
Success,Falcon9Block5|AxiomMission2(Ax-2), USA,Axiom Mission 2 (Ax-2),5/21/23 21:37,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
